# name	type	description
@ai-elements/suggestion	component	AI-powered suggestion component.
@ai-elements/task	component	AI-powered task component.
@ai-elements/terminal	component	AI-powered terminal component.
@ai-elements/test-results	component	AI-powered test results component.
@ai-elements/tool	component	AI-powered tool component.
@ai-elements/toolbar	component	AI-powered toolbar component.
@ai-elements/transcription	component	AI-powered transcription component.
@ai-elements/voice-selector	component	AI-powered voice selector component.
@ai-elements/web-preview	component	AI-powered web preview component.
@animate-ui/components-animate-avatar-group	ui	An animated avatar group that displays overlapping user images and smoothly shifts each avatar forward on hover to highlight it.
@animate-ui/components-animate-code	ui	A code component that animates the code as it is written.
@animate-ui/components-animate-code-tabs	ui	A tabs component that displays code for different languages.
@animate-ui/components-animate-cursor	ui	An animated cursor component that allows you to customize both the cursor and cursor follow elements with smooth animations.
@animate-ui/components-animate-github-stars-wheel	ui	A scrolling wheel that displays GitHub stars count.
@animate-ui/components-animate-tabs	ui	A set of layered sections of content—known as tab panels—that are displayed one at a time.
@animate-ui/components-animate-tooltip	ui	A tooltip is a small box that appears when hovering over an element.
@animate-ui/components-backgrounds-bubble	ui	An interactive background featuring smoothly animated gradient bubbles, creating a playful, dynamic, and visually engaging backdrop.
@animate-ui/components-backgrounds-fireworks	ui	A background component that displays a fireworks animation.
@animate-ui/components-backgrounds-gradient	ui	A background component featuring a subtle yet engaging animated gradient effect, smoothly transitioning colors to enhance visual depth.
@animate-ui/components-backgrounds-gravity-stars	ui	A background component featuring a subtle yet engaging animated gravity stars effect.
@animate-ui/components-backgrounds-hexagon	ui	A background component featuring an interactive hexagon grid.
@animate-ui/components-backgrounds-hole	ui	A background component featuring an animated hole grid.
@animate-ui/components-backgrounds-stars	ui	An interactive background featuring animated dots of varying sizes and speeds, simulating a dynamic and immersive starry space effect.
@animate-ui/components-base-accordion	ui	A set of collapsible panels with headings.
@animate-ui/components-base-alert-dialog	ui	A dialog that requires user response to proceed.
@animate-ui/components-base-checkbox	ui	An easily stylable checkbox component.
@animate-ui/components-base-dialog	ui	A popup that opens on top of the entire page.
@animate-ui/components-base-files	ui	A component that allows you to display a list of files and folders.
@animate-ui/components-base-menu	ui	A list of actions in a dropdown, enhanced with keyboard navigation.
@animate-ui/components-base-popover	ui	An accessible popup anchored to a button.
@animate-ui/components-base-preview-card	ui	A popup that appears when a link is hovered, showing a preview for sighted users.
@animate-ui/components-base-preview-link-card	ui	Displays a preview image of a link when hovered.
@animate-ui/components-base-progress	ui	Displays the status of a task that takes a long time.
@animate-ui/components-base-radio	ui	An easily stylable radio button component.
@animate-ui/components-base-switch	ui	A control that indicates whether a setting is on or off.
@animate-ui/components-base-tabs	ui	A component for toggling between related panels on the same page.
@animate-ui/components-base-toggle	ui	A two-state button that can be on or off.
@animate-ui/components-base-toggle-group	ui	Provides a shared state to a series of toggle buttons.
@animate-ui/components-base-tooltip	ui	A popup that appears when an element is hovered or focused, showing a hint for sighted users.
@animate-ui/components-buttons-button	ui	A button component with a variety of styles and animations.
@animate-ui/components-buttons-copy	ui	A copy button component with a variety of styles and animations.
@animate-ui/components-buttons-flip	ui	A button that flips between two states on hover.
@animate-ui/components-buttons-github-stars	ui	A clickable button that links to a GitHub repository and displays the number of stars.
@animate-ui/components-buttons-icon	ui	An icon button component with a variety of styles and animations.
@animate-ui/components-buttons-liquid	ui	A button that fills on hover.
@animate-ui/components-buttons-ripple	ui	A button that animates on tap with a ripple effect.
@animate-ui/components-buttons-theme-toggler	ui	A button that toggles the theme gradually.
@animate-ui/components-community-flip-card	ui	A 3D animated card component that flips to reveal content on the back.
@animate-ui/components-community-management-bar	ui	A management bar for managing items.
@animate-ui/components-community-motion-carousel	ui	A carousel built on top of Embla Carousel with smooth Motion-powered animations. Each slide scales dynamically based on its active state, and the pagination use
@animate-ui/components-community-notification-list	ui	A fun notification list with animated stacking and cards that expand as you interact.
@animate-ui/components-community-pin-list	ui	A playful list for pinning and unpinning items, with smooth animated transitions as items move between groups.
@animate-ui/components-community-playful-todolist	ui	A playful todolist component with animated wavy strikethroughs for each completed task.
@animate-ui/components-community-radial-intro	ui	A circular intro animation component that arranges elements in a radial layout, smoothly transitioning them into orbit with looping motion.
@animate-ui/components-community-radial-menu	ui	A circular context menu built with Base UI, displaying actions in a clean radial layout with full keyboard support and smooth interaction.
@animate-ui/components-community-radial-nav	ui	A circular navigation menu with animated pointer and expanding buttons for smooth interactive transitions.
@animate-ui/components-community-share-button	ui	This is a button for sharing.
@animate-ui/components-community-user-presence-avatar	ui	A compact avatar group for showing online and offline users, with smooth animated transitions when presence changes.
@animate-ui/components-headless-accordion	ui	A vertically stacked set of interactive headings that each reveal an associated section of content.
@animate-ui/components-headless-checkbox	ui	Checkboxes provide the same functionality as native HTML checkboxes, without any of the styling, giving you a clean slate to design them however you'd like.
@animate-ui/components-headless-dialog	ui	A fully-managed, renderless dialog component jam-packed with accessibility and keyboard features, perfect for building completely custom dialogs and alerts.
@animate-ui/components-headless-popover	ui	Popovers are perfect for floating panels with arbitrary content like navigation menus, mobile menus and flyout menus.
@animate-ui/components-headless-switch	ui	Switches are a pleasant interface for toggling a value between two states, and offer the same semantics and keyboard navigation as native checkbox elements.
@animate-ui/components-headless-tabs	ui	Easily create accessible, fully customizable tab interfaces, with robust focus management and keyboard navigation support.
@animate-ui/components-radix-accordion	ui	A vertically stacked set of interactive headings that each reveal an associated section of content.
@animate-ui/components-radix-alert-dialog	ui	A modal dialog that interrupts the user with important content and expects a response.
@animate-ui/components-radix-checkbox	ui	A control that allows the user to toggle between checked and not checked.
@animate-ui/components-radix-dialog	ui	A window overlaid on either the primary window or another dialog window, rendering the content underneath inert.
@animate-ui/components-radix-dropdown-menu	ui	Displays a menu to the user — such as a set of actions or functions — triggered by a button.
@animate-ui/components-radix-files	ui	A component that allows you to display a list of files and folders.
@animate-ui/components-radix-hover-card	ui	For sighted users to preview content available behind a link.
@animate-ui/components-radix-popover	ui	Displays rich content in a portal, triggered by a button.
@animate-ui/components-radix-preview-link-card	ui	Displays a preview image of a link when hovered.
@animate-ui/components-radix-progress	ui	Displays an indicator showing the completion progress of a task, typically displayed as a progress bar.
@animate-ui/components-radix-radio-group	ui	A set of checkable buttons—known as radio buttons—where no more than one of the buttons can be checked at a time.
@animate-ui/components-radix-sheet	ui	Extends the Dialog component to display content that complements the main content of the screen.
@animate-ui/components-radix-sidebar	ui	A composable, themeable and customizable sidebar component. Created by Shadcn and animated by Animate UI.
@animate-ui/components-radix-switch	ui	A control that allows the user to toggle between checked and not checked.
@animate-ui/components-radix-tabs	ui	A set of layered sections of content—known as tab panels—that are displayed one at a time.
@animate-ui/components-radix-toggle	ui	A two-state button that can be either on or off.
@animate-ui/components-radix-toggle-group	ui	A set of two-state buttons that can be toggled on or off.
@animate-ui/components-radix-tooltip	ui	A popup that displays information related to an element when the element receives keyboard focus or the mouse hovers over it.
@animate-ui/demo-components-animate-avatar-group	ui	Demo showing a avatar group.
@animate-ui/demo-components-animate-code	ui	Demo showing a code.
@animate-ui/demo-components-animate-code-tabs	ui	Demo showing a code tabs.
@animate-ui/demo-components-animate-cursor	ui	Demo showing a cursor.
@animate-ui/demo-components-animate-github-stars-wheel	ui	Demo showing an animated github stars wheel.
@animate-ui/demo-components-animate-tabs	ui	Demo showing an animated tabs.
@animate-ui/demo-components-animate-tooltip	ui	Demo showing an animated tooltip.
@animate-ui/demo-components-backgrounds-bubble	ui	Demo showing a bubble background.
@animate-ui/demo-components-backgrounds-fireworks	ui	Demo showing a fireworks background.
@animate-ui/demo-components-backgrounds-fireworks-circle	ui	Demo showing a fireworks circle background.
@animate-ui/demo-components-backgrounds-gradient	ui	Demo showing a gradient background.
@animate-ui/demo-components-backgrounds-gravity-stars	ui	Demo showing a gravity stars background.
@animate-ui/demo-components-backgrounds-hexagon	ui	Demo showing a hexagon background.
@animate-ui/demo-components-backgrounds-hole	ui	Demo showing a hole background.
@animate-ui/demo-components-backgrounds-stars	ui	Demo showing a stars background.
@animate-ui/demo-components-base-accordion	ui	Demo showing a accordion.
@animate-ui/demo-components-base-alert-dialog	ui	Demo showing a alert dialog.
@animate-ui/demo-components-base-checkbox	ui	Demo showing a checkbox.
@animate-ui/demo-components-base-dialog	ui	Demo showing a dialog.
@animate-ui/demo-components-base-files	ui	Demo showing a files.
@animate-ui/demo-components-base-menu	ui	Demo showing a menu.
@animate-ui/demo-components-base-menu-checkbox	ui	Demo showing a menu checkbox.
@animate-ui/demo-components-base-menu-radio	ui	Demo showing a menu radio.
@animate-ui/demo-components-base-popover	ui	Demo showing a popover.
@animate-ui/demo-components-base-preview-card	ui	Demo showing a preview card.
@animate-ui/demo-components-base-preview-link-card	ui	Demo showing a preview link card.
@animate-ui/demo-components-base-progress	ui	Demo showing a progress bar.
@animate-ui/demo-components-base-radio	ui	Demo showing a base radio.
@animate-ui/demo-components-base-switch	ui	Demo showing a switch.
@animate-ui/demo-components-base-tabs	ui	Demo showing a base tabs.
@animate-ui/demo-components-base-toggle	ui	Demo showing a toggle.
@animate-ui/demo-components-base-toggle-group	ui	Demo showing a toggle group.
@animate-ui/demo-components-base-tooltip	ui	Demo showing a tooltip.
@animate-ui/demo-components-buttons-button	ui	Demo showing a button.
@animate-ui/demo-components-buttons-copy	ui	Demo showing a copy button.
@animate-ui/demo-components-buttons-flip	ui	Demo showing a flip button.
@animate-ui/demo-components-buttons-github-stars	ui	Demo showing a GitHub stars button.
@animate-ui/demo-components-buttons-icon	ui	Demo showing an icon button.
@animate-ui/demo-components-buttons-liquid	ui	Demo showing a liquid button.
@animate-ui/demo-components-buttons-ripple	ui	Demo showing a ripple button.
@animate-ui/demo-components-buttons-theme-toggler	ui	Demo showing a theme toggler button.
@animate-ui/demo-components-community-flip-card	ui	Demo showing the flip card component.
@animate-ui/demo-components-community-management-bar	ui	Demo showing a management bar.
@animate-ui/demo-components-community-motion-carousel	ui	Demo showing motion carousel.
@animate-ui/demo-components-community-notification-list	ui	Demo showing a notification list.
@animate-ui/demo-components-community-pin-list	ui	Demo showing a pin list.
@animate-ui/demo-components-community-playful-todolist	ui	Demo showing a playful todolist.
@animate-ui/demo-components-community-radial-intro	ui	Demo showing radial intro.
@animate-ui/demo-components-community-radial-menu	ui	Demo Radial Menu.
@animate-ui/demo-components-community-radial-nav	ui	Demo Radial Nav.
@animate-ui/demo-components-community-share-button	ui	Demo showing a share button.
@animate-ui/demo-components-community-user-presence-avatar	ui	Demo showing a user presence avatar.
@animate-ui/demo-components-headless-accordion	ui	Demo showing a accordion.
@animate-ui/demo-components-headless-checkbox	ui	Demo showing a checkbox.
@animate-ui/demo-components-headless-dialog	ui	Demo showing a dialog.
@animate-ui/demo-components-headless-popover	ui	Demo showing a popover.
@animate-ui/demo-components-headless-switch	ui	Demo showing a headless switch.
@animate-ui/demo-components-headless-tabs	ui	Demo showing a headless tabs.
@animate-ui/demo-components-radix-accordion	ui	Demo showing a accordion.
@animate-ui/demo-components-radix-alert-dialog	ui	Demo showing a alert dialog.
@animate-ui/demo-components-radix-checkbox	ui	Demo showing a checkbox.
@animate-ui/demo-components-radix-dialog	ui	Demo showing a dialog.
@animate-ui/demo-components-radix-dropdown-menu	ui	Demo showing a dropdown menu.
@animate-ui/demo-components-radix-dropdown-menu-checkbox	ui	Demo showing a dropdown menu with a checkbox.
@animate-ui/demo-components-radix-dropdown-menu-radio	ui	Demo showing a dropdown menu with a radio.
@animate-ui/demo-components-radix-files	ui	Demo showing a files.
@animate-ui/demo-components-radix-hover-card	ui	Demo showing a hover card.
@animate-ui/demo-components-radix-popover	ui	Demo showing a popover.
@animate-ui/demo-components-radix-preview-link-card	ui	Demo showing a preview link card.
@animate-ui/demo-components-radix-progress	ui	Demo showing a radix progress.
@animate-ui/demo-components-radix-radio-group	ui	Demo showing a radix radio group.
@animate-ui/demo-components-radix-sheet	ui	Demo showing a radix sheet.
@animate-ui/demo-components-radix-sidebar	ui	Demo showing a radix sidebar.
@animate-ui/demo-components-radix-switch	ui	Demo showing a radix switch.
@animate-ui/demo-components-radix-tabs	ui	Demo showing a radix tabs.
@animate-ui/demo-components-radix-toggle	ui	Demo showing a radix toggle.
@animate-ui/demo-components-radix-toggle-group	ui	Demo showing a radix toggle group.
@animate-ui/demo-components-radix-tooltip	ui	Demo showing a radix tooltip.
@animate-ui/demo-primitives-animate-avatar-group	ui	Demo showing an animated avatar group.
@animate-ui/demo-primitives-animate-code-block	ui	Demo showing an animated code block.
@animate-ui/demo-primitives-animate-cursor	ui	Demo showing an animated cursor.
@animate-ui/demo-primitives-animate-github-stars	ui	Demo showing an animated github stars counter.
@animate-ui/demo-primitives-animate-motion-grid	ui	Demo showing an animated motion grid.
@animate-ui/demo-primitives-animate-pinned-list	ui	Demo showing an animated pinned list.
@animate-ui/demo-primitives-animate-scroll-progress	ui	Demo showing an animated scroll progress.
@animate-ui/demo-primitives-animate-spring	ui	Demo showing an animated spring.
@animate-ui/demo-primitives-animate-tabs	ui	Demo showing an animated tabs.
@animate-ui/demo-primitives-animate-tooltip	ui	Demo showing an animated tooltip.
@animate-ui/demo-primitives-base-accordion	ui	Demo showing an animated base accordion.
@animate-ui/demo-primitives-base-alert-dialog	ui	Demo showing an animated base alert dialog.
@animate-ui/demo-primitives-base-checkbox	ui	Demo showing an animated base checkbox.
@animate-ui/demo-primitives-base-collapsible	ui	Demo showing an animated base collapsible.
@animate-ui/demo-primitives-base-dialog	ui	Demo showing an animated base dialog.
@animate-ui/demo-primitives-base-files	ui	Demo showing an animated base files.
@animate-ui/demo-primitives-base-menu	ui	Demo showing an animated base menu.
@animate-ui/demo-primitives-base-popover	ui	Demo showing an animated base popover.
@animate-ui/demo-primitives-base-preview-card	ui	Demo showing an animated base preview card.
@animate-ui/demo-primitives-base-preview-link-card	ui	Demo showing an animated base preview link card.
@animate-ui/demo-primitives-base-progress	ui	Demo showing an animated base progress.
@animate-ui/demo-primitives-base-radio	ui	Demo showing an animated base radio.
@animate-ui/demo-primitives-base-switch	ui	Demo showing an animated base switch.
@animate-ui/demo-primitives-base-tabs	ui	Demo showing an animated base tabs.
@animate-ui/demo-primitives-base-toggle	ui	Demo showing an animated base toggle.
@animate-ui/demo-primitives-base-toggle-group	ui	Demo showing an animated base toggle group.
@animate-ui/demo-primitives-base-tooltip	ui	Demo showing an animated base tooltip.
@animate-ui/demo-primitives-buttons-button	ui	Demo showing a button.
@animate-ui/demo-primitives-buttons-flip	ui	Demo showing an animated flip button.
@animate-ui/demo-primitives-buttons-liquid	ui	Demo showing an animated liquid button.
@animate-ui/demo-primitives-buttons-ripple	ui	Demo showing a ripple button.
@animate-ui/demo-primitives-effects-auto-height	ui	Demo showing an animated auto height.
@animate-ui/demo-primitives-effects-blur	ui	Demo showing an animated blur.
@animate-ui/demo-primitives-effects-click	ui	Demo showing an animated click.
@animate-ui/demo-primitives-effects-effect	ui	Demo showing an animated effect.
@animate-ui/demo-primitives-effects-fade	ui	Demo showing an animated fade.
@animate-ui/demo-primitives-effects-highlight	ui	Demo showing an animated highlight.
@animate-ui/demo-primitives-effects-image-zoom	ui	Demo showing a image zoom effect.
@animate-ui/demo-primitives-effects-magnetic	ui	Demo showing a magnetic effect.
@animate-ui/demo-primitives-effects-particles	ui	Demo showing an animated particles.
@animate-ui/demo-primitives-effects-shine	ui	Demo showing an animated shine.
@animate-ui/demo-primitives-effects-slide	ui	Demo showing an animated slide.
@animate-ui/demo-primitives-effects-theme-toggler	ui	Demo showing a theme toggler.
@animate-ui/demo-primitives-effects-tilt	ui	Demo showing an animated tilt.
@animate-ui/demo-primitives-effects-zoom	ui	Demo showing an animated zoom.
@animate-ui/demo-primitives-headless-checkbox	ui	Demo showing an animated headless checkbox.
@animate-ui/demo-primitives-headless-dialog	ui	Demo showing an animated headless dialog.
@animate-ui/demo-primitives-headless-disclosure	ui	Demo showing an animated headless disclosure.
@animate-ui/demo-primitives-headless-popover	ui	Demo showing an animated headless popover.
@animate-ui/demo-primitives-headless-switch	ui	Demo showing an animated headless switch.
@animate-ui/demo-primitives-headless-tabs	ui	Demo showing an animated headless tabs.
@animate-ui/demo-primitives-radix-accordion	ui	Demo showing an animated radix accordion.
@animate-ui/demo-primitives-radix-alert-dialog	ui	Demo showing an animated radix alert dialog.
@animate-ui/demo-primitives-radix-checkbox	ui	Demo showing an animated radix checkbox.
@animate-ui/demo-primitives-radix-collapsible	ui	Demo showing an animated radix collapsible.
@animate-ui/demo-primitives-radix-dialog	ui	Demo showing an animated radix dialog.
@animate-ui/demo-primitives-radix-dropdown-menu	ui	Demo showing an animated radix dropdown menu.
@animate-ui/demo-primitives-radix-files	ui	Demo showing an animated radix files.
@animate-ui/demo-primitives-radix-hover-card	ui	Demo showing an animated radix hover card.
@animate-ui/demo-primitives-radix-popover	ui	Demo showing an animated radix popover.
@animate-ui/demo-primitives-radix-preview-link-card	ui	Demo showing an animated radix preview link card.
@animate-ui/demo-primitives-radix-progress	ui	Demo showing an animated radix progress.
@animate-ui/demo-primitives-radix-radio-group	ui	Demo showing an animated radix radio group.
@animate-ui/demo-primitives-radix-sheet	ui	Demo showing an animated radix sheet.
@animate-ui/demo-primitives-radix-switch	ui	Demo showing an animated radix switch.
@animate-ui/demo-primitives-radix-tabs	ui	Demo showing an animated radix tabs.
@animate-ui/demo-primitives-radix-toggle	ui	Demo showing an animated radix toggle.
@animate-ui/demo-primitives-radix-toggle-group	ui	Demo showing an animated radix toggle group.
@animate-ui/demo-primitives-radix-tooltip	ui	Demo showing an animated radix tooltip.
@animate-ui/demo-primitives-texts-counting-number	ui	Demo showing an animated counting number.
@animate-ui/demo-primitives-texts-gradient	ui	Demo showing an animated gradient text.
@animate-ui/demo-primitives-texts-highlight	ui	Demo showing an animated highlight text.
@animate-ui/demo-primitives-texts-morphing	ui	Demo showing an animated morphing text.
@animate-ui/demo-primitives-texts-rolling	ui	Demo showing an animated rolling text.
@animate-ui/demo-primitives-texts-rotating	ui	Demo showing an animated rotating text.
@animate-ui/demo-primitives-texts-scrolling-number	ui	Demo showing an animated scrolling number.
@animate-ui/demo-primitives-texts-shimmering	ui	Demo showing an animated shimmering text.
@animate-ui/demo-primitives-texts-sliding-number	ui	Demo showing an animated sliding number.
@animate-ui/demo-primitives-texts-splitting	ui	Demo showing an animated splitting text.
@animate-ui/demo-primitives-texts-splitting-example	ui	Demo showing an animated splitting text.
@animate-ui/demo-primitives-texts-typing	ui	Demo showing an animated typing text.
@animate-ui/hooks-use-auto-height	hook	A hook that allows you to automatically adjust the height of an element based on its content.
@animate-ui/hooks-use-controlled-state	hook	A hook that allows you to control a state.
@animate-ui/hooks-use-data-state	hook	A hook that allows you to get the data-state of an element.
@animate-ui/hooks-use-is-in-view	hook	A hook that allows you to check if an element is in view.
@animate-ui/hooks-use-motion-value-state	hook	A hook that allows you to use a motion value state.
@animate-ui/icons-accessibility	ui	Accessibility icon component.
@animate-ui/icons-activity	ui	Activity icon component.
@animate-ui/icons-airplay	ui	Airplay icon component.
@animate-ui/icons-alarm-clock	ui	Alarm clock icon component.
@animate-ui/icons-arrow-down	ui	Arrow down icon component.
@animate-ui/icons-arrow-left	ui	Arrow left icon component.
@animate-ui/icons-arrow-right	ui	Arrow right icon component.
@animate-ui/icons-arrow-up	ui	Arrow up icon component.
@animate-ui/icons-arrow-up-down	ui	Arrow up down icon component.
@animate-ui/icons-audio-lines	ui	Audio Lines icon component.
@animate-ui/icons-axe	ui	Axe icon component.
@animate-ui/icons-axis-3d	ui	Axis 3D icon component.
@animate-ui/icons-badge-check	ui	Badge check icon component.
@animate-ui/icons-battery-charging	ui	Battery Charging icon component.
@animate-ui/icons-battery-full	ui	Battery Full icon component.
@animate-ui/icons-battery-low	ui	Battery Low icon component.
@animate-ui/icons-battery-medium	ui	Battery Medium icon component.
@animate-ui/icons-bell	ui	Bell icon component.
@animate-ui/icons-bell-off	ui	Bell off icon component.
@animate-ui/icons-bell-ring	ui	Bell ring icon component.
@animate-ui/icons-between-horizontal-end	ui	Between horizontal end icon component.
@animate-ui/icons-between-horizontal-start	ui	Between horizontal start icon component.
@animate-ui/icons-between-vertical-end	ui	Between vertical end icon component.
@animate-ui/icons-between-vertical-start	ui	Between vertical start icon component.
@animate-ui/icons-binary	ui	Binary icon component.
@animate-ui/icons-blend	ui	Blend icon component.
@animate-ui/icons-blocks	ui	Blocks icon component.
@animate-ui/icons-bot	ui	Bot icon component.
@animate-ui/icons-bot-message-square	ui	Bot message square icon component.
@animate-ui/icons-bot-off	ui	Bot off icon component.
@animate-ui/icons-brush	ui	Brush icon component.
@animate-ui/icons-brush-cleaning	ui	Brush cleaning icon component.
@animate-ui/icons-cast	ui	Cast icon component.
@animate-ui/icons-cctv	ui	CCTV icon component.
